id,position,employer,date,location,href
4395251,Analityk Biznesowy - Zarz¹dzanie Portfelem Energii,RWE Polska Spó³ka Akcyjna,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-biznesowy-zarzadzanie-portfelem-energii-warszawa,oferta,4395251"
4395069,Analityk,Harvey Nash Technology Sp. z o.o.,2016-02-05,"Gdynia, pomorskie","/praca/analityk-gdynia,oferta,4395069"
4394087,Analityk ds. zakupów - Kupiec,Julimex S.C.,2016-02-05,"£ódŸ, ³ódzkie","/praca/analityk-ds-zakupow-kupiec-lodz,oferta,4394087"
4394797,Analityk ds. Zapewnienia Jakoœci,IMPAQ,2016-02-05,"Poznañ, wielkopolskie","/praca/analityk-ds-zapewnienia-jakosci-poznan,oferta,4394797"
4394832,Analityk Kredytowy Klientów Korporacyjnych,Credit Agricole Bank Polska S.A.,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-kredytowy-klientow-korporacyjnych-warszawa,oferta,4394832"
4393632,Analityk Biznesowy - Asystent Zarz¹du,Rekrutacja ukryta,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-biznesowy-asystent-zarzadu-warszawa,oferta,4393632"
4363649,Analityk Biznesowy,Business Intelligence Technologies s.c.,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/analityk-biznesowy-wroclaw,oferta,4363649"
4393873,Analityk Systemowo-Biznesowy,Rekrutacja ukryta,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-systemowo-biznesowy-warszawa,oferta,4393873"
4393550,Analityk ds. zakupów,DPM Sp. z o.o.,2016-02-05,"Sosnowiec, œl¹skie","/praca/analityk-ds-zakupow-sosnowiec,oferta,4393550"
4389771,Analityk danych,Logisfera Fi Sp. z o.o.,2016-02-05,"Sopot, pomorskie","/praca/analityk-danych-sopot,oferta,4389771"
4393546,Technology - Analityk Systemowy - Java,Accenture,2016-02-05,"£ódŸ, ³ódzkie","/praca/technology-analityk-systemowy-java-lodz,oferta,4393546"
4392092,Analityk Danych - SQL,WEH Inwestycje S.A.,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/analityk-danych-sql-wroclaw,oferta,4392092"
4352735,Analityk systemowy - Konsultant IT,Trimtab Arteria Management Sp. z o.o. Sp.k.,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-systemowy-konsultant-it-warszawa,oferta,4352735"
4391986,Analityk Biznesowy,Siltec Sp. z o.o.,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-biznesowy-warszawa,oferta,4391986"
4392880,Analityk Biznesowy,PageGroup Polska,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-biznesowy-zastepstwo-1-5-roku-warszawa,oferta,4392880"
4349808,Analityk e-marketingu,QAH Sp. z o.o. Sp. k.,2016-02-05,"£ódŸ, ³ódzkie","/praca/analityk-e-marketingu-lodz,oferta,4349808"
4371367,Analityk/Specjalista ds. Ryzyka,KRUK S.A.,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/analityk-specjalista-ds-ryzyka-wroclaw,oferta,4371367"
4392564,Analityk w Dziale AP / AR,Reed  Personnel Services Poland,2016-02-05,"Kraków, ma³opolskie","/praca/analityk-w-dziale-ap-ar-krakow,oferta,4392564"
